County,Population,Year
COLUMBIA,5000 - 10000,1870
COWETA,5000 - 10000,1870
CRAWFORD,2500 - 5000,1870
DADE,> 1000,1870
DAWSON,> 1000,1870
DECATUR,5000 - 10000,1870
DEKALB,2500 - 5000,1870
DODGE,,1870
DOOLY,2500 - 5000,1870
DOUGHERTY,5000 - 10000,1870
DOUGLAS,,1870
EARLY,2500 - 5000,1870
ECHOLS,> 1000,1870
EFFINGHAM,1000 - 2500,1870
ELBERT,2500 - 5000,1870
EMANUEL,1000 - 2500,1870
FANNIN,> 1000,1870
FAYETTE,2500 - 5000,1870
FLOYD,5000 - 10000,1870
FORSYTH,1000 - 2500,1870
FRANKLIN,1000 - 2500,1870
FULTON,15000 - 20000,1870
GILMER,> 1000,1870
GLASCOCK,> 1000,1870
GLYNN,2500 - 5000,1870
GORDON,1000 - 2500,1870
GREENE,5000 - 10000,1870
GWINNETT,1000 - 2500,1870
HABERSHAM,> 1000,1870
HALL,1000 - 2500,1870
HANCOCK,5000 - 10000,1870
HARALSON,> 1000,1870
HARRIS,5000 - 10000,1870
HART,1000 - 2500,1870
HEARD,2500 - 5000,1870
HENRY,2500 - 5000,1870
HOUSTON,15000 - 20000,1870
IRWIN,> 1000,1870
JACKSON,2500 - 5000,1870
JASPER,5000 - 10000,1870
JEFFERSON,5000 - 10000,1870
JOHNSON,> 1000,1870
JONES,5000 - 10000,1870
LAURENS,2500 - 5000,1870
LEE,5000 - 10000,1870
LIBERTY,5000 - 10000,1870
LINCOLN,2500 - 5000,1870
LOWNDES,2500 - 5000,1870
LUMPKIN,> 1000,1870
MACON,5000 - 10000,1870
MADISON,1000 - 2500,1870
MARION,2500 - 5000,1870
McDUFFIE,,1870
McINTOSH,2500 - 5000,1870
MERIWETHER,5000 - 10000,1870
MILLER,> 1000,1870
MILTON,> 1000,1870
MITCHELL,2500 - 5000,1870
MONROE,10000 - 15000,1870
MONTGOMERY,1000 - 2500,1870
MORGAN,5000 - 10000,1870
MURRAY,> 1000,1870
MUSCOGEE,5000 - 10000,1870
NEWTON,5000 - 10000,1870
OCONEE,,1870
OGLETHORPE,5000 - 10000,1870
PAULDING,> 1000,1870
PICKENS,> 1000,1870
PIERCE,> 1000,1870
PIKE,2500 - 5000,1870
POLK,2500 - 5000,1870
PULASKI,5000 - 10000,1870
PUTNAM,5000 - 10000,1870
QUITMAN,1000 - 2500,1870
RABUN,> 1000,1870
RANDOLPH,5000 - 10000,1870
RICHMOND,10000 - 15000,1870
ROCKDALE,,1870
SCHLEY,2500 - 5000,1870
SCREVEN,2500 - 5000,1870
SPALDING,2500 - 5000,1870
STEWART,5000 - 10000,1870
SUMTER,5000 - 10000,1870
TALBOT,5000 - 10000,1870
TALIAFERRO,2500 - 5000,1870
TATTNALL,1000 - 2500,1870
TAYLOR,2500 - 5000,1870
TELFAIR,1000 - 2500,1870
TERRELL,5000 - 10000,1870
THOMAS,5000 - 10000,1870
TOWNS,> 1000,1870
TROUP,10000 - 15000,1870
TWIGGS,5000 - 10000,1870
UNION,> 1000,1870
UPSON,2500 - 5000,1870
WALKER,1000 - 2500,1870
WALTON,2500 - 5000,1870
WARE,> 1000,1870
WARREN,5000 - 10000,1870
WASHINGTON,5000 - 10000,1870
WAYNE,> 1000,1870
WEBSTER,1000 - 2500,1870
WHITE,> 1000,1870
WHITFIELD,1000 - 2500,1870
WILCOX,> 1000,1870
WILKES,5000 - 10000,1870
WILKINSON,2500 - 5000,1870
WORTH,1000 - 2500,1870
